Location,HomeStartingPrice,Package,Date,PackagePrice,TotalListings,NewListingsCount
Stockholm,10000000,PREMIUM,8-Mar-21,6419,,
Stockholm,10000000,PREMIUM,15-Mar-21,6419,,
Stockholm,10000000,PREMIUM,22-Mar-21,6419,19828,2290
Stockholm,10000000,PREMIUM,29-Mar-21,6419,19047,2566
Stockholm,10000000,PREMIUM,5-Apr-21,6419,20483,2565
Stockholm,10000000,PREMIUM,12-Apr-21,6649,21254,2414
Stockholm,10000000,PREMIUM,19-Apr-21,6649,21590,2386
Stockholm,10000000,PREMIUM,26-Apr-21,6739,21717,2532
Stockholm,10000000,PREMIUM,3-May-21,6739,22239,2480
Stockholm,10000000,PREMIUM,10-May-21,6739,22863,2517
Stockholm,10000000,PREMIUM,17-May-21,6739,22863,2517
Stockholm,10000000,PREMIUM,24-May-21,6739,22863,2517
Stockholm,10000000,PREMIUM,31-May-21,6739,24728,2337
Stockholm,10000000,PREMIUM,7-Jun-21,6739,25724,2299
Stockholm,10000000,PREMIUM,14-Jun-21,6919,26320,2305
Stockholm,10000000,PREMIUM,21-Jun-21,6919,24319,2558
Stockholm,10000000,PREMIUM,28-Jun-21,6919,23080,2721
Stockholm,10000000,PREMIUM,5-Jul-21,6919,21639,2999
Stockholm,10000000,PREMIUM,12-Jul-21,7000,20235,3300
Stockholm,10000000,PREMIUM,19-Jul-21,7000,19919,2566
Stockholm,10000000,PREMIUM,26-Jul-21,7000,19544,3762
Stockholm,10000000,PREMIUM,2-Aug-21,7000,20277,3659
Stockholm,10000000,PREMIUM,9-Aug-21,7000,22548,3203
Stockholm,10000000,PREMIUM,16-Aug-21,7450,20277,3659
Stockholm,10000000,PREMIUM,23-Aug-21,7450,25800,2690
Stockholm,10000000,PREMIUM,30-Aug-21,7450,25675,2578
Stockholm,10000000,PREMIUM,6-Sep-21,7450,25543,2546
Stockholm,10000000,PREMIUM,13-Sep-21,7450,25670,2576
Stockholm,10000000,PREMIUM,20-Sep-21,7450,25666,2577
Stockholm,10000000,PREMIUM,27-Sep-21,7450,25270,2606
Stockholm,10000000,PREMIUM,4-Oct-21,7450,24657,2595
Stockholm,10000000,PREMIUM,11-Oct-21,7450,24400,2530
Stockholm,10000000,PREMIUM,18-Oct-21,7450,24264,2541
Stockholm,10000000,PREMIUM,25-Oct-21,7450,23504,2600
Stockholm,10000000,PREMIUM,1-Nov-21,7450,19902,2660
Stockholm,10000000,PREMIUM,8-Nov-21,7450,20062,2523
Stockholm,10000000,PREMIUM,15-Nov-21,7450,19823,2484
Stockholm,10000000,PREMIUM,22-Nov-21,7450,19054,2471
Stockholm,10000000,PREMIUM,29-Nov-21,7450,17884,2459
Stockholm,10000000,PREMIUM,6-Dec-21,7450,16198,2648
Stockholm,10000000,PREMIUM,13-Dec-21,7450,13839,3010
Stockholm,10000000,PREMIUM,20-Dec-21,7450,11406,3439
Stockholm,10000000,PREMIUM,29-Dec-21,7450,11197,3978
Stockholm,10000000,PREMIUM,3-Jan-22,7450,12675,3620
Stockholm,10000000,PREMIUM,10-Jan-22,7450,15299,2983
Stockholm,10000000,PREMIUM,17-Jan-22,7450,16178,2699
Stockholm,10000000,PREMIUM,24-Jan-22,7450,15863,2651
Stockholm,10000000,PREMIUM,31-Jan-22,7450,15750,2658
Stockholm,10000000,PREMIUM,7-Feb-22,7450,15763,2643
Stockholm,10000000,PREMIUM,14-Feb-22,7450,16070,2598
Stockholm,10000000,PREMIUM,21-Feb-22,7450,15851,2799
Stockholm,10000000,PREMIUM,28-Feb-22,7450,15805,2808
Stockholm,10000000,PREMIUM,7-Mar-22,8240,16874,2855
Stockholm,10000000,PREMIUM,14-Mar-22,8240,17825,2890
Stockholm,10000000,PREMIUM,21-Mar-22,8240,18556,2936
Stockholm,10000000,PREMIUM,28-Mar-22,8240,19100,2958
Stockholm,10000000,PREMIUM,4-Apr-22,8240,19074,2983
Stockholm,10000000,PREMIUM,11-Apr-22,8240,18346,3365
Stockholm,10000000,PREMIUM,18-Apr-22,8240,20181,3227
Stockholm,10000000,PREMIUM,25-Apr-22,8240,21037,3214
Stockholm,10000000,PREMIUM,2-May-22,8240,22236,3129
Stockholm,10000000,PREMIUM,9-May-22,8240,24173,3109
Stockholm,10000000,PREMIUM,16-May-22,8240,26067,3108
Stockholm,10000000,PREMIUM,23-May-22,8240,27630,3130
Stockholm,10000000,PREMIUM,30-May-22,8240,28988,3206
Stockholm,10000000,PREMIUM,6-Jun-22,9290,30451,3104
Stockholm,10000000,PREMIUM,13-Jun-22,9290,31101,3132
Stockholm,10000000,PREMIUM,20-Jun-22,9290,29622,3427
Stockholm,10000000,PREMIUM,27-Jun-22,9290,28308,3695
Stockholm,10000000,PREMIUM,4-Jul-22,9290,26296,4126
Stockholm,10000000,PREMIUM,11-Jul-22,9290,24306,4584
Stockholm,10000000,PREMIUM,18-Jul-22,9290,23331,4910
Stockholm,10000000,PREMIUM,25-Jul-22,9290,23331,4910
Stockholm,10000000,PREMIUM,1-Aug-22,9290,23866,4961
Stockholm,10000000,PREMIUM,8-Aug-22,9490,27096,4400
Stockholm,10000000,PREMIUM,15-Aug-22,9490,30532,3893
Stockholm,10000000,PREMIUM,22-Aug-22,9490,32602,3636
Stockholm,10000000,PREMIUM,29-Aug-22,9490,33341,3501
Stockholm,10000000,PREMIUM,5-Sep-22,9790,33485,3521
Stockholm,10000000,PREMIUM,12-Sep-22,9790,34038,3510
Stockholm,10000000,PREMIUM,19-Sep-22,9790,34581,3547
Stockholm,10000000,PREMIUM,26-Sep-22,9790,34775,2597
Stockholm,10000000,PREMIUM,3-Oct-22,9790,34673,3491
Stockholm,10000000,PREMIUM,10-Oct-22,10590,35102,3513
Stockholm,10000000,PREMIUM,17-Oct-22,10590,35335,3540
Stockholm,10000000,PREMIUM,24-Oct-22,10590,35015,3603
Stockholm,10000000,PREMIUM,31-Oct-22,10590,34589,3704
Stockholm,10000000,PREMIUM,7-Nov-22,10790,34243,3575
Stockholm,10000000,PREMIUM,14-Nov-22,10790,33976,3552
Stockholm,10000000,PREMIUM,21-Nov-22,10790,33151,3551
Stockholm,10000000,PREMIUM,28-Nov-22,10790,31930,3588
Stockholm,10000000,PREMIUM,5-Dec-22,10790,30087,3763
Stockholm,10000000,PREMIUM,12-Dec-22,10790,27415,4119
Stockholm,10000000,PREMIUM,19-Dec-22,10790,27344,4758
Stockholm,10000000,PREMIUM,26-Dec-22,10790,27344,4758
Stockholm,10000000,PREMIUM,2-Jan-23,12390,24335,4884
Stockholm,10000000,PREMIUM,9-Jan-23,12390,27038,4157
Stockholm,10000000,PREMIUM,16-Jan-23,12390,28390,3923
Stockholm,10000000,PREMIUM,23-Jan-23,12390,28382,3872
Stockholm,10000000,PREMIUM,30-Jan-23,12390,28084,3845
Stockholm,10000000,PREMIUM,6-Feb-23,12390,28038,3859
Stockholm,10000000,PREMIUM,13-Feb-23,12390,27943,3905
Stockholm,10000000,PREMIUM,20-Feb-23,12390,27752,4045
Stockholm,10000000,PREMIUM,27-Feb-23,12390,27604,4142
Stockholm,10000000,PREMIUM,6-Mar-23,12390,28104,4144
Stockholm,10000000,PREMIUM,13-Mar-23,12390,28736,4157
Stockholm,10000000,PREMIUM,20-Mar-23,12390,29169,4142
Stockholm,10000000,PREMIUM,27-Mar-23,12390,29466,4212
Stockholm,10000000,PREMIUM,3-Apr-23,12390,29105,4567
Stockholm,10000000,PREMIUM,10-Apr-23,12390,30853,4563
Stockholm,10000000,PREMIUM,17-Apr-23,12390,31807,4368
Stockholm,10000000,PREMIUM,24-Apr-23,12390,31893,4540
Stockholm,10000000,PREMIUM,1-May-23,12810,33060,4458
Stockholm,10000000,PREMIUM,8-May-23,12810,34443,4392
Stockholm,10000000,PREMIUM,15-May-23,12810,35956,4321
Stockholm,10000000,PREMIUM,22-May-23,12810,37349,4246
Stockholm,10000000,PREMIUM,29-May-23,12810,38532,4270
Stockholm,10000000,PREMIUM,5-Jun-23,12870,39480,4221
Stockholm,10000000,PREMIUM,12-Jun-23,12870,40044,4181
Stockholm,10000000,PREMIUM,19-Jun-23,12870,38673,4532
Stockholm,10000000,PLUS,8-Mar-21,4219,,
Stockholm,10000000,PLUS,15-Mar-21,4219,,
Stockholm,10000000,PLUS,22-Mar-21,4219,19828,2290
Stockholm,10000000,PLUS,29-Mar-21,4219,19047,2566
Stockholm,10000000,PLUS,5-Apr-21,4219,20483,2565
Stockholm,10000000,PLUS,12-Apr-21,4449,21254,2414
Stockholm,10000000,PLUS,19-Apr-21,4449,21590,2386
Stockholm,10000000,PLUS,26-Apr-21,4549,21717,2532
Stockholm,10000000,PLUS,3-May-21,4549,22239,2480
Stockholm,10000000,PLUS,10-May-21,4549,22863,2517
Stockholm,10000000,PLUS,17-May-21,4549,22863,2517
Stockholm,10000000,PLUS,24-May-21,4549,22863,2517
Stockholm,10000000,PLUS,31-May-21,4549,24728,2337
Stockholm,10000000,PLUS,7-Jun-21,4549,25724,2299
Stockholm,10000000,PLUS,14-Jun-21,4729,26320,2305
Stockholm,10000000,PLUS,21-Jun-21,4729,24319,2558
Stockholm,10000000,PLUS,28-Jun-21,4729,23080,2721
Stockholm,10000000,PLUS,5-Jul-21,4729,21639,2999
Stockholm,10000000,PLUS,12-Jul-21,4810,20235,3300
Stockholm,10000000,PLUS,19-Jul-21,4810,19919,2566
Stockholm,10000000,PLUS,26-Jul-21,4810,19544,3762
Stockholm,10000000,PLUS,2-Aug-21,4810,20277,3659
Stockholm,10000000,PLUS,9-Aug-21,4810,22548,3203
Stockholm,10000000,PLUS,16-Aug-21,5260,20277,3659
Stockholm,10000000,PLUS,23-Aug-21,5260,25800,2690
Stockholm,10000000,PLUS,30-Aug-21,5260,25675,2578
Stockholm,10000000,PLUS,6-Sep-21,5260,25543,2546
Stockholm,10000000,PLUS,13-Sep-21,5260,25670,2576
